event_name,date,location,url
UFC Fight Night: Holm vs. Aldana,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/805ad1801eb26abb
UFC 253: Adesanya vs. Costa,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/e69c5ce12f4e762b
UFC Fight Night: Covington vs. Woodley,"September 19, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/831b937811804dad
UFC Fight Night: Waterson vs. Hill,"September 12, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/9c37681096c6f3a9
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/542db012217ecb83
UFC Fight Night: Smith vs. Rakic,"August 29, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e29cf523ebd155c5
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/af1e5c64b8663aa0
UFC 252: Miocic vs. Cormier 3,"August 15, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bda04c573563cc2e
UFC Fight Night: Lewis vs. Oleinik,"August 08, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/7a82635ffa9b59fe
UFC Fight Night: Brunson vs. Shahbazyan,"August 01, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3746e21bb508391a
UFC Fight Night: Whittaker vs. Till,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/dde70a112e053a6c
UFC Fight Night: Figueiredo vs. Benavidez 2,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/ddbd0d6259ce57cc
UFC Fight Night: Kattar vs. Ige,"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/18f5669a92e99d92
UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/dbd198f780286aca
UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c32eab6c2119e989
UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2eab7a6c8b0ed8cc
UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/1e13936d708bcff7
UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/4c12aa7ca246e7a4
UFC Fight Night: Woodley vs. Burns,"May 30, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/14b9e0f2679a2205
UFC Fight Night: Overeem vs. Harris,"May 16, 2020","Jacksonville, Florida, USA",http://www.ufcstats.com/event-details/dfb965c9824425db
UFC Fight Night: Smith vs. Teixeira,"May 13, 2020","Jacksonville, Florida, USA",http://www.ufcstats.com/event-details/5f8e00c27b7e7410
UFC 249: Ferguson vs. Gaethje,"May 09, 2020","Jacksonville, Florida, USA",http://www.ufcstats.com/event-details/898337ef520fe4d3
UFC Fight Night: Lee vs. Oliveira,"March 14, 2020","Brasilia, Distrito Federal, Brazil",http://www.ufcstats.com/event-details/53278852bcd91e11
UFC 248: Adesanya vs. Romero,"March 07, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/0b5b6876c2a4723f
UFC Fight Night: Benavidez vs. Figueiredo,"February 29, 2020","Norfolk, Virginia, USA",http://www.ufcstats.com/event-details/fc9a9559a05f2704
UFC Fight Night: Felder vs. Hooker,"February 22, 2020","Auckland, New Zealand",http://www.ufcstats.com/event-details/33b2f68ef95252e0
UFC Fight Night: Anderson vs. Blachowicz,"February 15, 2020","Rio Rancho, New Mexico, USA",http://www.ufcstats.com/event-details/5df17b3620145578
UFC 247: Jones vs. Reyes,"February 08, 2020","Houston, Texas, USA",http://www.ufcstats.com/event-details/b26d3e3746fb4024
UFC Fight Night: Blaydes vs. Dos Santos,"January 25, 2020","Raleigh, North Carolina, USA",http://www.ufcstats.com/event-details/44aa652b181bcf68
UFC 246: McGregor vs. Cowboy,"January 18, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/0c1773639c795466
UFC Fight Night: Edgar vs. The Korean Zombie,"December 21, 2019","Busan, South Korea",http://www.ufcstats.com/event-details/74fefd43f073cd2f
UFC 245: Usman vs. Covington,"December 14, 2019","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/4565d435005319c0
