method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Decision - Unanimous,Mark Smith,featherweight,f1,Artem Lobov,Chris Avila,3.53,2.8,45.3,32.81,2.8,3.53,67.19,54.7,0.0,0.0,0,0,100,100,0.0,0.0,175.26,177.8,65.77,65.77,165.1,182.31,Southpaw,Orthodox
Submission,Mark Smith,strawweight,f1,Cortney Casey,Randa Markos,4.6,0.88,58.33,23.53,0.88,4.6,76.47,41.67,0.0,3.28,0,100,0,100,0.22,0.0,170.18,162.56,56.7,52.16,170.18,160.02,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,welterweight,f1,Lorenz Larkin,Neil Magny,7.74,1.94,66.67,34.78,1.94,7.74,65.22,33.33,0.0,0.0,0,0,100,100,0.0,0.0,180.34,190.5,77.11,77.11,182.88,203.2,Orthodox,Orthodox
KO/TKO,Mark Smith,welterweight,f1,Colby Covington,Max Griffin,2.11,1.06,56.52,37.14,1.06,2.11,62.86,43.48,7.32,0.0,66,0,100,34,0.0,0.08,180.34,180.34,77.11,77.11,182.88,193.04,Orthodox,Orthodox
Submission,Dan Miragliotta,middleweight,f1,Marvin Vettori,Alberto Uda,2.22,0.89,71.43,44.44,0.89,2.22,55.56,28.57,3.33,3.33,100,50,50,0,0.22,0.0,182.88,190.5,83.91,83.91,187.96,195.76,Southpaw,Orthodox
Decision - Split,Herb Dean,featherweight,f1,Yair Rodriguez,Alex Caceres,4.8,2.48,35.5,31.63,2.48,4.8,68.37,64.5,0.6,0.6,50,100,0,50,0.0,0.0,180.34,177.8,65.77,65.77,180.34,185.42,Orthodox,Southpaw
Decision - Unanimous,John McCarthy,featherweight,f1,Dennis Bermudez,Rony Jason,3.2,0.6,50.53,21.95,0.6,3.2,78.05,49.47,5.0,0.0,50,0,100,50,0.0,0.0,167.64,170.18,70.31,65.77,167.64,185.42,Orthodox,Orthodox
Submission,Dan Miragliotta,middleweight,f1,Thales Leites,Chris Camozzi,2.78,0.62,67.92,53.33,0.62,2.78,46.67,32.08,5.78,0.0,45,0,100,55,0.08,0.0,185.42,187.96,83.91,83.91,198.12,190.5,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,welterweight,f1,Santiago Ponzinibbio,Zak Cummings,3.87,2.33,46.03,23.03,2.33,3.87,76.97,53.97,0.0,1.0,0,20,80,100,0.0,0.0,182.88,182.88,77.11,92.99,185.42,190.5,Orthodox,Southpaw
Decision - Unanimous,Dan Miragliotta,middleweight,f1,Trevor Smith,Joseph Gigliotti,2.8,1.0,60.87,48.39,1.0,2.8,51.61,39.13,4.0,1.0,66,100,0,34,0.13,0.07,190.5,180.34,83.91,83.91,190.5,185.0,Orthodox,Orthodox
Decision - Split,Herb Dean,strawweight,f1,Maryna Moroz,Danielle Taylor,1.13,1.13,6.77,16.67,1.13,1.13,83.33,93.23,0.0,1.0,0,100,0,100,0.0,0.0,170.18,152.4,56.7,52.16,170.18,152.4,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,welterweight,f1,Court McGee,Dominique Steele,1.0,1.53,38.46,35.38,1.53,1.0,64.62,61.54,4.0,0.0,26,0,100,74,0.07,0.0,180.34,177.8,77.11,77.11,190.5,187.96,Orthodox,Orthodox
KO/TKO,John McCarthy,heavyweight,f1,Marcin Tybura,Viktor Pesta,2.55,0.51,24.19,7.14,0.51,2.55,92.86,75.81,0.0,0.0,0,0,100,100,0.0,0.0,190.5,190.5,112.94,108.86,198.12,195.58,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,David Teymur,Jason Novelli,4.05,1.25,42.62,28.57,1.25,4.05,71.43,57.38,0.0,0.0,0,0,100,100,0.0,0.0,175.26,182.88,70.31,70.31,185.42,187.69,Southpaw,Orthodox
KO/TKO,Dave Seljestad,featherweight,f1,Teruto Ishihara,Horacio Gutierrez,5.13,1.97,52.0,27.78,1.97,5.13,72.22,48.0,0.0,0.0,0,0,100,100,0.0,0.0,170.18,177.8,61.23,65.77,175.26,182.31,Southpaw,Orthodox
Decision - Unanimous,John McCarthy,featherweight,f1,Cub Swanson,Tatsuya Kawajiri,4.47,1.53,61.47,22.77,1.53,4.47,77.23,38.53,1.0,3.0,100,25,75,0,0.07,0.0,172.72,170.18,65.77,65.77,177.8,175.26,Orthodox,Orthodox
Decision - Unanimous,Dave Seljestad,heavyweight,f1,Justin Ledet,Chase Sherman,7.53,3.93,49.13,35.54,3.93,7.53,64.46,50.87,0.0,0.0,0,0,100,100,0.0,0.0,193.04,193.04,92.99,113.4,203.2,198.12,Orthodox,Orthodox
