method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
KO/TKO,Herb Dean,lightweight,f1,BJ Penn,Diego Sanchez,3.1,0.35,53.44,7.41,0.35,3.1,92.59,46.56,0.0,0.0,0,0,100,100,0.0,0.0,175.26,177.8,70.31,77.11,177.8,182.88,Orthodox,Southpaw
Submission,Herb Dean,heavyweight,f1,Frank Mir,Cheick Kongo,1.67,0.0,40.0,0.0,0.0,1.67,100.0,60.0,0.0,0.0,0,0,100,100,0.83,0.0,190.5,193.04,119.75,108.86,200.66,208.28,Southpaw,Orthodox
Decision - Unanimous,Mario Yamasaki,welterweight,f1,Jon Fitch,Mike Pierce,3.67,3.6,33.74,31.03,3.6,3.67,68.97,66.26,4.0,1.0,40,50,50,60,0.0,0.0,182.88,172.72,77.11,77.11,187.96,180.34,Orthodox,Orthodox
Submission,Mario Yamasaki,lightweight,f1,Kenny Florian,Clay Guida,3.01,1.78,28.21,18.84,1.78,3.01,81.16,71.79,2.05,0.0,50,0,100,50,0.14,0.0,177.8,170.18,65.77,70.31,187.96,177.8,Southpaw,Orthodox
Decision - Split,Dan Miragliotta,heavyweight,f1,Stefan Struve,Paul Buentello,3.6,2.47,46.96,41.57,2.47,3.6,58.43,53.04,1.0,0.0,100,0,100,0,0.13,0.0,210.82,187.96,120.2,111.13,213.36,195.58,Orthodox,Orthodox
Decision - Unanimous,Mario Yamasaki,lightweight,f1,Matt Wiman,Shane Nelson,3.67,1.33,42.31,23.53,1.33,3.67,76.47,57.69,2.0,1.0,40,14,86,60,0.0,0.2,177.8,175.26,70.31,70.31,172.72,177.8,Orthodox,Southpaw
Decision - Unanimous,Dan Miragliotta,welterweight,f1,Johny Hendricks,Ricardo Funch,3.27,1.07,59.04,61.54,1.07,3.27,38.46,40.96,7.0,1.0,50,16,84,50,0.27,0.0,175.26,177.8,83.91,77.11,175.26,187.96,Southpaw,Southpaw
Submission,Greg Franklin,middleweight,f1,Rousimar Palhares,Lucio Linhares,0.72,0.96,42.86,29.63,0.96,0.72,70.37,57.14,1.8,3.59,50,100,0,50,0.36,0.24,172.72,187.96,77.11,83.91,180.34,193.07,Orthodox,Orthodox
Submission,Herb Dean,welterweight,f1,DaMarques Johnson,Edgar Garcia,2.47,4.2,27.78,35.42,4.2,2.47,64.58,72.22,0.0,3.7,0,50,50,100,0.25,0.25,185.42,177.8,77.11,77.11,190.5,180.34,Orthodox,Orthodox
KO/TKO,Greg Franklin,welterweight,f1,TJ Grant,Kevin Burns,5.66,2.83,70.0,37.84,2.83,5.66,62.16,30.0,3.03,0.0,33,0,100,67,0.0,0.0,177.8,177.8,70.31,77.11,182.88,187.96,Orthodox,Orthodox
KO/TKO,Herb Dean,heavyweight,f1,Roy Nelson,Brendan Schaub,2.13,3.2,22.86,25.0,3.2,2.13,75.0,77.14,4.0,0.0,50,0,100,50,0.0,0.0,182.88,193.04,119.29,111.13,185.42,198.12,Orthodox,Orthodox
Submission,Herb Dean,lightweight,f1,Frankie Edgar,Matt Veach,3.41,0.95,40.98,16.67,0.95,3.41,83.33,59.02,0.0,6.14,0,33,67,100,0.14,0.0,167.64,180.34,61.23,70.31,172.72,185.0,Orthodox,Orthodox
KO/TKO,Steve Mazzagatti,heavyweight,f1,Matt Mitrione,Marcus Jones,2.71,1.94,41.18,52.63,1.94,2.71,47.37,58.82,0.0,8.71,0,75,25,100,0.0,0.19,190.5,198.12,120.2,120.2,208.28,203.82,Switch,Orthodox
KO/TKO,Josh Rosenthal,heavyweight,f1,James McSweeney,Darrill Schoonover,4.35,1.2,61.05,33.33,1.2,4.35,66.67,38.95,1.12,0.0,50,0,100,50,0.15,0.08,193.04,187.96,104.33,99.79,195.58,193.07,Switch,Orthodox
Decision - Split,Herb Dean,heavyweight,f1,Jon Madsen,Justin Wren,1.73,1.13,26.0,10.69,1.13,1.73,89.31,74.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,187.96,108.86,120.2,182.88,193.07,Orthodox,Orthodox
Decision - Unanimous,Steve Mazzagatti,light heavyweight,f1,Brian Stann,Rodney Wallace,2.4,1.0,53.73,42.86,1.0,2.4,57.14,46.27,0.0,7.0,0,46,54,100,0.0,0.13,185.42,175.26,92.99,92.99,187.96,182.88,Orthodox,Switch
KO/TKO,Josh Rosenthal,welterweight,f1,John Howard,Dennis Hallman,0.94,0.54,63.64,33.33,0.54,0.94,66.67,36.36,2.01,2.01,66,50,50,34,0.0,0.13,170.18,175.26,77.11,70.31,182.88,182.88,Orthodox,Orthodox
Submission,Herb Dean,lightweight,f1,Mark Bocek,Joe Brammer,1.67,0.83,37.5,15.79,0.83,1.67,84.21,62.5,8.33,0.0,100,0,100,0,0.28,0.0,172.72,172.72,70.31,70.31,190.5,176.93,Orthodox,Orthodox
Decision - Split,Josh Rosenthal,light heavyweight,f1,Forrest Griffin,Tito Ortiz,4.67,1.6,33.98,32.0,1.6,4.67,68.0,66.02,0.0,3.0,0,33,67,100,0.0,0.0,190.5,190.5,92.99,92.99,195.58,187.96,Orthodox,Orthodox
Submission,Mario Yamasaki,welterweight,f1,Josh Koscheck,Anthony Johnson,1.94,1.64,35.85,22.22,1.64,1.94,77.78,64.15,3.07,0.0,50,0,100,50,0.1,0.0,177.8,187.96,77.11,92.99,185.42,198.12,Orthodox,Orthodox
Decision - Unanimous,Steve Mazzagatti,welterweight,f1,Paulo Thiago,Jacob Volkmann,2.27,1.07,44.16,42.11,1.07,2.27,57.89,55.84,2.0,1.0,50,25,75,50,0.0,0.07,180.34,175.26,77.11,70.31,187.96,180.34,Orthodox,Southpaw
KO/TKO,Steve Mazzagatti,light heavyweight,f1,Rogerio Nogueira,Luiz Cane,7.24,1.55,50.0,21.43,1.55,7.24,78.57,50.0,0.0,0.0,0,0,100,100,0.0,0.0,187.96,187.96,92.99,83.91,190.5,195.58,Southpaw,Southpaw
Decision - Unanimous,Yves Lavigne,welterweight,f1,Amir Sadollah,Phil Baroni,8.93,3.4,60.36,36.43,3.4,8.93,63.57,39.64,0.0,1.0,0,25,75,100,0.0,0.0,177.8,175.26,77.11,77.11,190.5,182.88,Orthodox,Orthodox
KO/TKO,Josh Rosenthal,welterweight,f1,Ben Saunders,Marcus Davis,6.47,2.35,56.41,33.33,2.35,6.47,66.67,43.59,0.0,0.0,0,0,100,100,0.0,0.0,187.96,177.8,77.11,77.11,195.58,177.8,Orthodox,Southpaw
Submission,Mario Yamasaki,middleweight,f1,Kendall Grove,Jake Rosholt,0.75,1.26,37.5,41.67,1.26,0.75,58.33,62.5,3.77,11.3,100,75,25,0,0.25,0.25,198.12,185.42,83.91,83.91,200.66,190.38,Orthodox,Orthodox
KO/TKO,Yves Lavigne,welterweight,f1,Brian Foster,Brock Larson,3.33,0.71,44.44,42.86,0.71,3.33,57.14,55.56,3.56,1.78,50,33,67,50,0.0,0.12,175.26,180.34,77.11,77.11,180.34,180.34,Orthodox,Southpaw
Submission,Yves Lavigne,lightweight,f1,George Sotiropoulos,Jason Dent,3.44,2.6,27.5,36.23,2.6,3.44,63.77,72.5,4.69,0.0,100,0,100,0,0.21,0.0,177.8,177.8,70.31,70.31,180.34,180.34,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,light heavyweight,f1,Randy Couture,Brandon Vera,2.6,1.8,53.42,52.94,1.8,2.6,47.06,46.58,1.0,1.0,10,50,50,90,0.0,0.0,185.42,190.5,92.99,104.33,190.5,198.12,Orthodox,Orthodox
Decision - Unanimous,Kevin Mulhall,welterweight,f1,Dan Hardy,Mike Swick,3.67,2.53,49.11,38.78,2.53,3.67,61.22,50.89,1.0,0.0,25,0,100,75,0.0,0.07,182.88,185.42,77.11,77.11,187.96,195.58,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,middleweight,f1,Michael Bisping,Denis Kang,3.09,1.17,34.12,20.75,1.17,3.09,79.25,65.88,4.79,0.0,100,0,100,0,0.11,0.0,185.42,180.34,83.91,83.91,190.5,195.58,Orthodox,Orthodox
KO/TKO,Leon Roberts,welterweight,f1,Matt Brown,James Wilks,3.61,1.53,60.0,35.85,1.53,3.61,64.15,40.0,0.0,1.2,0,10,90,100,0.24,0.24,182.88,185.42,77.11,77.11,190.5,190.5,Orthodox,Orthodox
KO/TKO,Marc Goddard,lightweight,f1,Ross Pearson,Aaron Riley,6.12,1.56,48.36,20.55,1.56,6.12,79.45,51.64,0.0,0.0,0,0,100,100,0.0,0.0,172.72,172.72,70.31,70.31,175.26,175.26,Orthodox,Southpaw
Decision - Unanimous,Kevin Mulhall,welterweight,f1,John Hathaway,Paul Taylor,5.33,0.33,54.05,26.32,0.33,5.33,73.68,45.95,5.0,0.0,83,0,100,17,0.0,0.07,185.42,182.88,77.11,70.31,190.5,182.88,Orthodox,Orthodox
Submission,Dan Miragliotta,lightweight,f1,Terry Etim,Shannon Gugerty,2.66,1.72,29.82,26.83,1.72,2.66,73.17,70.18,0.0,2.34,0,50,50,100,0.16,0.0,185.42,177.8,70.31,70.31,185.42,180.34,Orthodox,Orthodox
KO/TKO,Marc Goddard,welterweight,f1,Nick Osipczak,Matthew Riddle,3.31,2.02,45.54,51.85,2.02,3.31,48.15,54.46,0.0,4.32,0,33,67,100,0.07,0.0,187.96,185.42,77.11,77.11,193.04,193.04,Orthodox,Southpaw
KO/TKO,Dan Miragliotta,lightweight,f1,Dennis Siver,Paul Kelly,4.82,1.52,23.03,14.29,1.52,4.82,85.71,76.97,0.0,1.9,0,33,67,100,0.0,0.0,167.64,175.26,65.77,70.31,177.8,177.8,Orthodox,Orthodox
KO/TKO,Kevin Mulhall,light heavyweight,f1,Alexander Gustafsson,Jared Hamman,8.78,8.78,26.09,35.29,8.78,8.78,64.71,73.91,0.0,0.0,0,0,100,100,0.0,0.0,195.58,190.5,92.99,83.91,200.66,190.5,Orthodox,Orthodox
KO/TKO,Leon Roberts,lightweight,f1,Andre Winner,Rolando Delgado,4.16,3.27,50.0,24.44,3.27,4.16,75.56,50.0,0.0,0.0,0,0,100,100,0.0,0.0,180.34,190.5,70.31,70.31,185.42,195.58,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,light heavyweight,f1,Lyoto Machida,Mauricio Rua,1.4,3.2,32.41,54.79,3.2,1.4,45.21,67.59,0.0,0.0,0,0,100,100,0.0,0.0,185.42,185.42,83.91,92.99,187.96,193.04,Southpaw,Orthodox
KO/TKO,Steve Mazzagatti,heavyweight,f1,Cain Velasquez,Ben Rothwell,10.39,0.5,65.26,14.29,0.5,10.39,85.71,34.74,12.57,0.0,100,0,100,0,0.0,0.0,185.42,193.04,108.86,120.2,195.58,198.12,Orthodox,Orthodox
Decision - Unanimous,Josh Rosenthal,lightweight,f1,Gleison Tibau,Josh Neer,1.47,1.6,18.18,24.24,1.6,1.47,75.76,81.82,11.0,0.0,78,0,100,22,0.13,0.0,177.8,180.34,70.31,77.11,180.34,182.88,Southpaw,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Joe Stevenson,Spencer Fisher,3.09,1.55,52.83,31.82,1.55,3.09,68.18,47.17,3.31,0.0,28,0,100,72,0.0,0.0,170.18,170.18,65.77,70.31,177.8,172.72,Orthodox,Southpaw
KO/TKO,Steve Mazzagatti,welterweight,f1,Anthony Johnson,Yoshiyuki Yoshida,14.63,0.0,50.0,0.0,0.0,14.63,100.0,50.0,0.0,0.0,0,0,100,100,0.0,0.0,187.96,180.34,92.99,77.11,198.12,177.8,Orthodox,Southpaw
Decision - Unanimous,Josh Rosenthal,light heavyweight,f1,Ryan Bader,Eric Schafer,3.47,1.67,31.33,21.55,1.67,3.47,78.45,68.67,3.0,0.0,75,0,100,25,0.0,0.07,187.96,190.5,92.99,83.91,187.96,193.04,Orthodox,Orthodox
KO/TKO,Josh Rosenthal,heavyweight,f1,Pat Barry,Antoni Hardonk,3.87,3.87,45.31,40.28,3.87,3.87,59.72,54.69,0.0,0.0,0,0,100,100,0.0,0.0,180.34,193.04,106.59,111.13,187.96,198.12,Orthodox,Orthodox
Decision - Unanimous,Steve Mazzagatti,middleweight,f1,Chael Sonnen,Yushin Okami,6.07,1.67,32.38,16.23,1.67,6.07,83.77,67.62,4.0,0.0,57,0,100,43,0.0,0.07,185.42,187.96,92.99,77.11,185.42,190.5,Southpaw,Southpaw
KO/TKO,Jason Herzog,middleweight,f1,Jorge Rivera,Rob Kimmons,5.55,1.94,48.53,42.59,1.94,5.55,57.41,51.47,0.0,1.26,0,33,67,100,0.0,0.0,185.42,177.8,83.91,83.91,185.42,185.42,Orthodox,Orthodox
Decision - Split,Jason Herzog,light heavyweight,f1,Kyle Kingsbury,Razak Al-Hassan,1.67,2.07,25.51,39.24,2.07,1.67,60.76,74.49,2.0,1.0,33,25,75,67,0.0,0.0,193.04,187.96,92.99,92.99,200.66,193.07,Orthodox,Orthodox
Submission,Jason Herzog,heavyweight,f1,Stefan Struve,Chase Gormley,2.95,1.97,75.0,34.78,1.97,2.95,65.22,25.0,3.69,3.69,100,100,0,0,0.74,0.25,210.82,190.5,120.2,120.2,213.36,195.76,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,heavyweight,f1,Junior Dos Santos,Mirko Filipovic,5.83,1.83,44.59,44.9,1.83,5.83,55.1,55.41,0.0,0.0,0,0,100,100,0.0,0.0,193.04,187.96,107.95,104.33,195.58,185.42,Orthodox,Southpaw
KO/TKO,Yves Lavigne,welterweight,f1,Paul Daley,Martin Kampmann,10.73,4.77,42.86,34.29,4.77,10.73,65.71,57.14,0.0,0.0,0,0,100,100,0.0,0.0,175.26,182.88,77.11,77.11,193.04,182.88,Orthodox,Orthodox
KO/TKO,Leon Roberts,welterweight,f1,Josh Koscheck,Frank Trigg,6.35,0.71,52.94,11.11,0.71,6.35,88.89,47.06,0.0,0.0,0,0,100,100,0.0,0.0,177.8,175.26,77.11,77.11,185.42,180.34,Orthodox,Southpaw
KO/TKO,Dan Miragliotta,lightweight,f1,Tyson Griffin,Hermes Franca,7.94,1.3,44.97,15.49,1.3,7.94,84.51,55.03,0.0,0.0,0,0,100,100,0.0,0.0,167.64,167.64,65.77,70.31,172.72,180.34,Orthodox,Orthodox
KO/TKO,Yves Lavigne,lightweight,f1,Efrain Escudero,Cole Miller,2.78,1.67,31.25,11.32,1.67,2.78,88.68,68.75,4.17,0.0,100,0,100,0,0.0,0.0,175.26,185.42,70.31,65.77,180.34,185.42,Orthodox,Orthodox
Submission,Leon Roberts,middleweight,f1,Tomasz Drwal,Drew McFedries,5.12,2.81,42.47,36.96,2.81,5.12,63.04,57.53,7.44,0.0,42,0,100,58,0.17,0.0,185.42,182.88,92.99,83.91,193.04,182.88,Orthodox,Southpaw
KO/TKO,Don Turnage,lightweight,f1,Jim Miller,Steve Lopez,5.17,1.03,34.48,12.24,1.03,5.17,87.76,65.52,0.0,0.0,0,0,100,100,0.17,0.0,172.72,180.34,70.31,70.31,180.34,185.0,Southpaw,Orthodox
Decision - Unanimous,Kerry Hatley,lightweight,f1,Nik Lentz,Rafaello Oliveira,4.47,1.93,49.26,26.36,1.93,4.47,73.64,50.74,4.0,4.0,80,57,43,20,0.27,0.0,172.72,172.72,65.77,70.31,172.72,180.34,Orthodox,Orthodox
Submission,Dan Miragliotta,welterweight,f1,Rick Story,Brian Foster,2.93,0.98,30.51,12.77,0.98,2.93,87.23,69.49,7.32,0.0,75,0,100,25,0.16,0.16,175.26,175.26,77.11,77.11,180.34,180.34,Southpaw,Orthodox
Decision - Split,Don Turnage,light heavyweight,f1,Eliot Marshall,Jason Brilz,1.93,1.8,24.79,25.71,1.8,1.93,74.29,75.21,0.0,0.0,0,0,100,100,0.0,0.0,187.96,180.34,92.99,92.99,195.58,180.34,Orthodox,Orthodox
Decision - Unanimous,Leon Roberts,light heavyweight,f1,Vladimir Matyushenko,Igor Pokrajac,2.93,1.13,41.51,26.15,1.13,2.93,73.85,58.49,4.0,1.0,80,50,50,20,0.07,0.0,182.88,182.88,92.99,92.99,187.96,187.96,Orthodox,Orthodox
Decision - Unanimous,Kerry Hatley,lightweight,f1,Rafael Dos Anjos,Rob Emerson,3.47,1.8,31.52,15.7,1.8,3.47,84.3,68.48,2.0,0.0,16,0,100,84,0.0,0.0,172.72,175.26,70.31,70.31,177.8,177.8,Southpaw,Orthodox
Submission,Herb Dean,lightweight,f1,Nate Diaz,Melvin Guillard,2.91,1.52,28.77,26.19,1.52,2.91,73.81,71.23,4.16,6.24,100,100,0,0,0.28,0.0,182.88,175.26,77.11,70.31,193.04,180.34,Southpaw,Orthodox
Decision - Split,Dan Miragliotta,lightweight,f1,Gray Maynard,Roger Huerta,1.53,2.67,29.11,24.1,2.67,1.53,75.9,70.89,3.0,0.0,42,0,100,58,0.07,0.0,175.26,175.26,70.31,70.31,177.8,177.8,Orthodox,Orthodox
Decision - Split,Leon Roberts,welterweight,f1,Carlos Condit,Jake Ellenberger,1.8,1.87,38.57,47.46,1.87,1.8,52.54,61.43,1.0,3.0,50,75,25,50,0.07,0.2,187.96,175.26,77.11,77.11,190.5,180.34,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,middleweight,f1,Nate Quarry,Tim Credeur,3.53,2.67,40.46,24.69,2.67,3.53,75.31,59.54,0.0,0.0,0,0,100,100,0.0,0.07,182.88,190.5,83.91,83.91,182.88,190.5,Open Stance,Orthodox
Decision - Unanimous,Kevin Nix,light heavyweight,f1,Brian Stann,Steve Cantwell,2.93,2.33,24.72,22.73,2.33,2.93,77.27,75.28,0.0,0.0,0,0,100,100,0.0,0.0,185.42,187.96,92.99,83.91,187.96,190.5,Orthodox,Orthodox
Submission,Dan Miragliotta,welterweight,f1,Mike Pyle,Chris Wilson,0.98,1.55,29.27,34.55,1.55,0.98,65.45,70.73,2.45,1.22,33,50,50,67,0.16,0.08,182.88,185.42,77.11,77.11,187.96,190.5,Orthodox,Orthodox
Decision - Unanimous,Leon Roberts,middleweight,f1,CB Dollaway,Jay Silva,2.13,1.27,58.18,43.18,1.27,2.13,56.82,41.82,6.0,0.0,60,0,100,40,0.13,0.13,187.96,187.96,83.91,83.91,193.04,193.07,Orthodox,Southpaw
KO/TKO,Kevin Nix,lightweight,f1,Jeremy Stephens,Justin Buchholz,8.28,2.66,56.0,18.37,2.66,8.28,81.63,44.0,0.0,0.0,0,0,100,100,0.0,0.0,175.26,182.88,65.77,70.31,180.34,185.42,Orthodox,Orthodox
Decision - Unanimous,Tom Jones,welterweight,f1,Mike Pierce,Brock Larson,1.8,0.73,50.0,33.33,0.73,1.8,66.67,50.0,6.0,0.0,54,0,100,46,0.0,0.07,172.72,180.34,77.11,77.11,180.34,180.34,Orthodox,Southpaw
Submission,Gary Ritter,middleweight,f1,Ryan Jensen,Steve Steinbeiss,2.29,1.78,52.94,36.84,1.78,2.29,63.16,47.06,3.81,0.0,100,0,100,0,0.25,0.0,185.42,190.5,83.91,83.91,193.04,190.5,Orthodox,Orthodox
Decision - Unanimous,Mario Yamasaki,heavyweight,f1,Antonio Rodrigo Nogueira,Randy Couture,1.8,2.8,28.12,40.78,2.8,1.8,59.22,71.88,0.0,0.0,0,0,100,100,0.2,0.0,190.5,185.42,108.86,92.99,195.58,190.5,Orthodox,Orthodox
KO/TKO,Herb Dean,light heavyweight,f1,Thiago Silva,Keith Jardine,3.16,1.89,62.5,17.65,1.89,3.16,82.35,37.5,0.0,0.0,0,0,100,100,0.0,0.0,187.96,187.96,92.99,83.91,187.96,193.04,Orthodox,Orthodox
Submission,Yves Lavigne,middleweight,f1,Jake Rosholt,Chris Leben,1.83,1.22,50.0,32.56,1.22,1.83,67.44,50.0,3.91,1.3,75,100,0,25,0.09,0.0,185.42,180.34,83.91,83.91,190.82,185.42,Orthodox,Southpaw
KO/TKO,Dave Hagen,middleweight,f1,Nate Marquardt,Demian Maia,2.86,0.0,100.0,0.0,0.0,2.86,100.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,185.42,83.91,77.11,187.96,182.88,Orthodox,Southpaw
Decision - Unanimous,Herb Dean,light heavyweight,f1,Brandon Vera,Krzysztof Soszynski,4.13,2.73,46.27,32.28,2.73,4.13,67.72,53.73,1.0,1.0,100,20,80,0,0.0,0.0,190.5,185.42,104.33,92.99,198.12,195.58,Orthodox,Open Stance
KO/TKO,Yves Lavigne,middleweight,f1,Aaron Simpson,Ed Herman,4.73,1.32,50.0,21.88,1.32,4.73,78.12,50.0,8.52,0.0,100,0,100,0,0.0,0.0,182.88,185.42,77.11,92.99,185.42,195.58,Orthodox,Orthodox
KO/TKO,Dave Hagen,heavyweight,f1,Gabriel Gonzaga,Chris Tuchscherer,8.98,0.0,81.48,0.0,0.0,8.98,100.0,18.52,0.0,0.0,0,0,100,100,0.0,0.0,187.96,187.96,109.77,117.03,193.04,193.04,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,heavyweight,f1,Mike Russow,Justin McCully,1.4,0.73,58.33,18.97,0.73,1.4,81.03,41.67,8.0,0.0,72,0,100,28,0.13,0.0,185.42,185.42,115.67,102.06,185.42,185.42,Orthodox,Orthodox
KO/TKO,Mario Yamasaki,heavyweight,f1,Todd Duffee,Tim Hague,34.29,0.0,80.0,0.0,0.0,34.29,100.0,20.0,0.0,0.0,0,0,100,100,0.0,0.0,190.5,193.04,117.93,117.93,198.12,193.04,Orthodox,Orthodox
Decision - Split,Yves Lavigne,middleweight,f1,Mark Munoz,Nick Catone,3.53,2.53,51.96,46.34,2.53,3.53,53.66,48.04,2.0,3.0,16,50,50,84,0.13,0.07,182.88,182.88,83.91,83.91,180.34,182.88,Orthodox,Southpaw
Decision - Split,Shawn Gregory,lightweight,f1,Evan Dunham,Marcus Aurelio,3.87,1.8,36.02,26.47,1.8,3.87,73.53,63.98,1.0,3.0,100,20,80,0,0.0,0.07,177.8,177.8,70.31,70.31,177.8,187.96,Southpaw,Orthodox
Submission,Dan Miragliotta,lightweight,f1,BJ Penn,Kenny Florian,3.02,1.01,60.64,32.76,1.01,3.02,67.24,39.36,0.79,0.0,33,0,100,67,0.05,0.0,175.26,177.8,70.31,65.77,177.8,187.96,Orthodox,Southpaw
KO/TKO,Kevin Mulhall,light heavyweight,f1,Anderson Silva,Forrest Griffin,3.84,0.89,52.0,7.14,0.89,3.84,92.86,48.0,0.0,0.0,0,0,100,100,0.0,0.0,187.96,190.5,83.91,92.99,195.58,195.58,Southpaw,Orthodox
Decision - Unanimous,Kevin Mulhall,lightweight,f1,Aaron Riley,Shane Nelson,3.33,1.87,40.98,37.84,1.87,3.33,62.16,59.02,2.0,0.0,40,0,100,60,0.0,0.0,172.72,175.26,70.31,70.31,175.26,177.8,Southpaw,Southpaw
KO/TKO,Dan Miragliotta,welterweight,f1,Johny Hendricks,Amir Sadollah,14.48,4.14,46.67,22.22,4.14,14.48,77.78,53.33,0.0,0.0,0,0,100,100,0.0,0.0,175.26,177.8,83.91,77.11,175.26,190.5,Southpaw,Orthodox
Decision - Unanimous,Mario Yamasaki,middleweight,f1,Ricardo Almeida,Kendall Grove,2.53,1.67,61.29,40.32,1.67,2.53,59.68,38.71,6.0,0.0,42,0,100,58,0.0,0.13,182.88,198.12,77.11,83.91,187.96,200.66,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,lightweight,f1,Kurt Pellegrino,Josh Neer,1.4,1.6,43.75,50.0,1.6,1.4,50.0,56.25,3.0,0.0,60,0,100,40,0.0,0.07,172.72,180.34,70.31,77.11,177.8,182.88,Orthodox,Orthodox
Decision - Split,Mario Yamasaki,welterweight,f1,John Howard,Tamdan McCrory,1.27,0.73,51.35,23.91,0.73,1.27,76.09,48.65,5.0,2.0,71,33,67,29,0.07,0.07,170.18,193.04,77.11,83.91,182.88,193.04,Orthodox,Switch
Decision - Split,Marc Goddard,middleweight,f1,Alessio Sakara,Thales Leites,1.6,1.47,28.92,21.57,1.47,1.6,78.43,71.08,0.0,4.0,0,33,67,100,0.0,0.0,182.88,185.42,83.91,83.91,182.88,198.12,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,welterweight,f1,Matthew Riddle,Dan Cramer,3.13,0.33,70.15,17.86,0.33,3.13,82.14,29.85,2.0,0.0,28,0,100,72,0.13,0.07,185.42,187.96,77.11,77.11,193.04,193.07,Southpaw,Orthodox
Submission,Marc Goddard,lightweight,f1,George Sotiropoulos,George Roop,2.0,0.72,42.42,10.87,0.72,2.0,89.13,57.58,6.44,0.0,60,0,100,40,0.14,0.0,177.8,185.42,70.31,61.23,180.34,182.88,Orthodox,Orthodox
KO/TKO,Keith Peterson,welterweight,f1,Jesse Lennox,Danillo Villefort,2.72,3.16,32.46,37.72,3.16,2.72,62.28,67.54,1.1,1.1,50,50,50,50,0.0,0.07,175.26,185.42,77.11,83.91,182.88,190.38,Orthodox,Orthodox
Decision - Unanimous,Yves Lavigne,welterweight,f1,Jon Fitch,Paulo Thiago,1.0,0.33,44.12,45.45,0.33,1.0,54.55,55.88,4.0,0.0,100,0,100,0,0.07,0.33,182.88,180.34,77.11,77.11,187.96,187.96,Orthodox,Orthodox
KO/TKO,Herb Dean,heavyweight,f1,Brock Lesnar,Frank Mir,6.91,0.59,92.16,33.33,0.59,6.91,66.67,7.84,2.21,0.0,100,0,100,0,0.0,0.0,190.5,190.5,120.2,119.75,205.74,200.66,Orthodox,Southpaw
Decision - Unanimous,Steve Mazzagatti,welterweight,f1,Georges St-Pierre,Thiago Alves,2.36,1.2,46.09,18.52,1.2,2.36,81.48,53.91,6.0,0.0,83,0,100,17,0.04,0.0,180.34,175.26,83.91,77.11,193.04,177.8,Orthodox,Orthodox
KO/TKO,Mario Yamasaki,middleweight,f1,Dan Henderson,Michael Bisping,3.48,2.64,29.59,20.18,2.64,3.48,79.82,70.41,0.0,0.0,0,0,100,100,0.0,0.0,180.34,185.42,83.91,83.91,187.96,190.5,Orthodox,Orthodox
Decision - Split,Mario Yamasaki,middleweight,f1,Yoshihiro Akiyama,Alan Belcher,3.67,5.07,35.26,48.72,5.07,3.67,51.28,64.74,3.0,0.0,75,0,100,25,0.0,0.0,177.8,187.96,77.11,83.91,190.5,190.5,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,light heavyweight,f1,Mark Coleman,Stephan Bonnar,1.33,1.73,55.56,43.33,1.73,1.33,56.67,44.44,3.0,0.0,33,0,100,67,0.0,0.2,185.42,193.04,92.99,92.99,190.5,200.66,Orthodox,Orthodox
Decision - Unanimous,Steve Mazzagatti,lightweight,f1,Jim Miller,Mac Danzig,2.47,1.33,40.66,35.09,1.33,2.47,64.91,59.34,6.0,0.0,85,0,100,15,0.07,0.07,172.72,172.72,70.31,70.31,180.34,177.8,Southpaw,Orthodox
Submission,Yves Lavigne,light heavyweight,f1,Jon Jones,Jake O'Brien,3.24,1.43,28.74,16.18,1.43,3.24,83.82,71.26,0.0,0.0,0,0,100,100,0.13,0.0,193.04,190.5,112.49,92.99,213.36,193.04,Orthodox,Orthodox
Decision - Unanimous,Mario Yamasaki,welterweight,f1,Dong Hyun Kim,TJ Grant,1.93,1.47,49.15,50.0,1.47,1.93,50.0,50.85,4.0,1.0,80,20,80,20,0.07,0.0,187.96,177.8,77.11,70.31,193.04,182.88,Southpaw,Orthodox
Submission,Yves Lavigne,middleweight,f1,Tom Lawlor,CB Dollaway,0.0,1.09,0.0,20.0,1.09,0.0,80.0,100.0,0.0,0.0,0,0,100,100,1.09,0.0,182.88,187.96,92.99,83.91,187.96,193.04,Southpaw,Orthodox
