name,height,weight,reach,slpm,str_acc_%,sapm,str_def_%,td_avg,td_acc_%,td_def_%,sub_avg,stance,cluster
Taylor Lapilus,167.64000000000001,135.0,73.0,3.91,46,2.37,61,0.37,40,77,0.4,Unorthodox,5
Jean Silva,170.18,145.0,69.0,5.83,52,4.27,57,1.56,50,100,0.0,Orthodox,5
Westin Wilson,185.42000000000002,145.0,73.0,2.11,34,6.62,28,0.0,0,0,4.2,Unorthodox,0
Nikolas Motta,175.26,155.0,70.0,3.08,33,4.78,51,0.0,0,82,0.0,Orthodox,3
Joshua Van,165.1,125.0,65.0,9.08,53,5.77,60,1.14,42,78,0.0,Orthodox,5
Felipe Bunes,170.18,125.0,69.0,5.25,54,8.72,41,3.15,33,0,0.0,Orthodox,2
Leon Edwards,187.96,170.0,74.0,2.75,53,2.34,54,1.25,34,70,0.4,Unorthodox,5
Colby Covington,180.34,170.0,72.0,3.88,38,2.98,55,3.79,44,67,0.2,Orthodox,5
Shavkat Rakhmonov,185.42000000000002,170.0,77.0,4.12,61,2.41,51,1.49,29,100,1.8,Orthodox,0
Stephen Thompson,182.88,170.0,75.0,4.11,46,3.03,54,0.26,41,65,0.0,Orthodox,2
Paddy Pimblett,177.8,155.0,73.0,5.13,52,3.7,41,0.98,25,56,1.6,Orthodox,0
Tony Ferguson,180.34,155.0,76.0,4.94,45,4.41,55,0.39,35,67,0.9,Orthodox,0
Josh Emmett,167.64000000000001,145.0,70.0,4.04,36,4.61,61,0.91,37,46,0.1,Orthodox,2
Bryce Mitchell,177.8,145.0,70.0,2.3,58,1.63,58,3.45,41,33,1.6,Unorthodox,0
Dustin Jacoby,190.5,205.0,76.0,5.53,47,4.07,57,0.36,25,60,0.0,Orthodox,2
Irene Aldana,175.26,135.0,68.0,5.24,40,6.33,57,0.16,50,76,0.2,Orthodox,5
Karol Rosa,165.1,135.0,67.0,6.34,56,4.78,49,1.22,45,68,0.0,Orthodox,5
Brian Kelleher,167.64000000000001,135.0,66.0,3.39,41,4.64,54,1.74,41,60,0.7,Unorthodox,0
Casey O'Neill,167.64000000000001,125.0,69.0,8.41,54,6.3,56,1.77,38,66,0.7,Orthodox,0
Tagir Ulanbekov,170.18,125.0,70.0,3.22,45,3.3,51,3.71,46,61,2.1,Unorthodox,0
Cody Durden,170.18,125.0,67.0,3.16,51,2.89,51,4.84,50,66,0.3,Unorthodox,5
Lucas Almeida,180.34,145.0,71.0,5.05,47,5.32,45,0.0,0,40,0.0,Orthodox,2
Martin Buday,193.04,265.0,77.0,5.17,52,5.7,54,0.26,25,100,0.3,Orthodox,3
Chris Gutierrez,175.26,135.0,67.0,4.8,58,2.79,63,0.28,30,69,0.1,Orthodox,5
Khalil Rountree Jr.,185.42000000000002,205.0,76.0,3.84,39,4.18,50,0.0,0,58,0.1,Unorthodox,2
Nasrat Haqparast,177.8,155.0,72.0,5.78,44,5.25,64,0.31,20,78,0.0,Unorthodox,3
Tim Elliott,170.18,125.0,66.0,3.39,44,2.66,56,3.73,47,59,1.0,Unorthodox,0
Sumudaerji,172.72,125.0,72.0,4.64,54,2.73,61,0.29,100,66,0.6,Unorthodox,5
Andre Muniz,185.42000000000002,185.0,78.0,1.97,50,1.99,54,4.23,50,35,1.2,Unorthodox,0
JunYong Park,177.8,185.0,73.0,4.53,50,3.3,53,1.83,50,57,1.1,Orthodox,0
Kevin Jousset,187.96,170.0,75.0,8.23,55,5.1,53,1.51,66,100,0.8,Orthodox,0
Song Kenan,182.88,170.0,71.0,4.36,46,6.38,50,0.34,50,61,0.0,Orthodox,2
HyunSung Park,170.18,125.0,66.0,4.15,44,3.43,59,1.54,27,100,2.6,Orthodox,0
Shannon Ross,167.64000000000001,125.0,66.0,5.96,39,7.39,55,0.0,0,100,0.0,Unorthodox,3
Steve Garcia,182.88,155.0,75.0,4.85,56,2.4,46,1.31,44,88,0.7,Unorthodox,0
Melquizael Costa,177.8,145.0,71.0,4.29,46,2.99,59,2.49,27,42,0.5,Unorthodox,2
Luana Santos,167.64000000000001,135.0,67.0,6.21,55,3.64,64,1.61,50,66,0.0,Orthodox,5
Stephanie Egger,167.64000000000001,135.0,68.0,2.2,46,2.48,52,2.48,42,50,0.6,Orthodox,5
Tatsuro Taira,170.18,125.0,70.0,3.51,71,1.15,47,2.12,41,71,2.4,Orthodox,0
Carlos Hernandez,172.72,125.0,67.0,4.95,46,4.54,46,1.11,15,65,0.3,Orthodox,2
Talita Alencar,154.94,115.0,58.0,2.37,28,4.8,48,2.5,15,50,0.0,Orthodox,2
Rayanne dos Santos,157.48,115.0,62.0,3.73,36,4.63,65,0.5,20,88,0.0,Orthodox,3
Beneil Dariush,177.8,155.0,72.0,3.78,48,2.65,57,1.9,34,80,0.9,Unorthodox,0
Rob Font,172.72,135.0,71.0,5.53,45,3.65,56,0.89,35,46,0.3,Orthodox,2
Sean Brady,177.8,170.0,72.0,3.77,53,3.55,61,3.29,57,87,1.2,Orthodox,0
Kelvin Gastelum,175.26,170.0,71.0,3.55,41,3.23,58,0.96,30,59,0.1,Unorthodox,2
Clay Guida,170.18,155.0,70.0,2.64,33,3.01,61,3.13,36,67,0.6,Orthodox,5
Dustin Stoltzfus,182.88,185.0,75.0,3.49,44,3.29,48,2.4,40,46,0.7,Orthodox,0
Punahele Soriano,180.34,170.0,72.0,3.96,45,4.55,48,0.79,40,33,0.0,Unorthodox,2
Miesha Tate,167.64000000000001,135.0,65.0,2.62,45,2.98,51,2.02,31,55,1.3,Orthodox,0
Julia Avila,170.18,135.0,68.0,2.59,43,2.86,50,0.54,33,50,0.3,Orthodox,2
Zach Reese,193.04,185.0,77.0,3.93,66,6.56,28,0.0,0,0,9.8,Unorthodox,0
Joe Solecki,175.26,155.0,70.0,2.21,56,1.53,52,2.65,50,50,1.5,Orthodox,0
Rodolfo Bellato,190.5,205.0,77.0,6.47,61,5.9,44,1.09,25,100,0.5,Orthodox,5
Jared Gooden,182.88,170.0,77.0,5.08,49,6.68,48,0.67,100,65,0.2,Orthodox,5
Wellington Turman,182.88,170.0,72.0,3.23,51,4.17,45,1.55,20,42,0.8,Orthodox,0
Jamey-Lyn Horth,170.18,125.0,66.0,3.97,62,3.53,57,0.5,25,70,0.0,Orthodox,2
